Team1,Team2,Winner
73.936,0,0
61.905,10,0
73.936,10,0
61.905,0,0
10,0,0
73.936,61.905,0
50.625,0,0
64.458,35.897,1
64.458,0,0
50.625,35.897,0
64.458,50.625,1
35.897,0,0
24.138,11.111,0
60.674,59.639,0
59.639,11.111,0
60.674,24.138,0
60.674,11.111,0
59.639,24.138,0
58.442,54.43,1
58.442,35.714,1
54.43,22.727,0
58.442,22.727,0
54.43,35.714,0
73.936,54.43,0
61.905,50.625,0
60.674,54.43,0
59.639,35.714,0
73.936,35.897,0
54.43,50.625,1
60.674,35.897,0
61.905,35.714,0
59.639,50.625,1
61.905,35.897,1
73.936,59.639,0
60.674,35.714,0
61.905,54.43,0
59.639,35.897,0
60.674,50.625,1
73.936,35.714,0
61.905,60.674,1
35.897,35.714,1
73.936,50.625,0
61.905,59.639,0
50.625,35.714,0
54.43,35.897,0
73.936,60.674,0
59.639,54.43,0
60.674,50.625,1
73.936,61.905,0
73.936,50.625,0
54.43,24.138,0
50.625,10,0
35.897,11.111,0
60.674,35.714,0
61.905,22.727,0
73.936,64.458,1
35.714,22.727,0
24.138,10,1
58.442,35.897,0
73.936,61.905,1
54.43,50.625,1
59.639,11.111,0
64.458,60.674,0
59.639,58.442,0
60.674,24.138,0
50.625,11.111,0
73.936,22.727,0
58.442,24.138,0
73.936,60.674,0
58.442,50.625,0
22.727,11.111,0
50.625,24.138,0
58.442,11.111,0
60.674,22.727,0
24.138,11.111,1
60.674,58.442,0
50.625,22.727,0
60.674,11.111,0
73.936,24.138,0
58.442,22.727,0
73.936,11.111,0
60.674,50.625,1
73.936,58.442,1
24.138,22.727,1
64.458,35.897,0
59.639,10,0
61.905,54.43,0
35.897,35.714,0
54.43,10,0
59.639,35.714,1
61.905,10,0
54.43,35.897,0
61.905,59.639,1
64.458,35.714,0
64.458,10,0
54.43,35.714,0
59.639,35.897,1
64.458,61.905,1
35.897,10,0
61.905,35.714,0
59.639,54.43,0
35.714,10,0
61.905,35.897,0
64.458,54.43,0
58.442,54.43,0
73.936,64.458,1
61.905,60.674,1
59.639,50.625,1
60.674,50.625,1
64.458,58.442,0
64.458,50.625,0
73.936,64.458,0
61.905,50.625,0
59.639,54.43,0
58.442,35.897,0
35.714,0,1
64.458,6.667,0
61.905,60.674,1
50.625,22.727,1
73.936,9.091,0
59.639,58.442,1
54.43,0,0
35.897,35.714,1
9.091,6.667,1
60.674,50.625,0
73.936,59.639,0
60.674,0,0
35.897,6.667,0
60.674,59.639,0
50.625,6.667,0
59.639,0,0
6.667,0,0
50.625,35.897,0
73.936,60.674,1
59.639,50.625,1
73.936,6.667,0
35.897,0,0
60.674,6.667,0
73.936,50.625,0
59.639,35.897,1
50.625,0,0
60.674,35.897,0
59.639,6.667,0
73.936,0,0
61.905,22.727,0
64.458,58.442,0
54.43,35.714,1
22.727,9.091,0
58.442,54.43,1
64.458,61.905,0
54.43,22.727,0
35.714,9.091,0
61.905,54.43,0
64.458,9.091,0
58.442,22.727,0
61.905,35.714,0
58.442,9.091,0
64.458,54.43,0
61.905,58.442,1
35.714,22.727,0
64.458,35.714,0
61.905,9.091,0
64.458,22.727,0
54.43,9.091,0
58.442,35.714,0
61.905,50.625,0
64.458,35.897,0
73.936,58.442,0
60.674,54.43,0
61.905,60.674,1
73.936,64.458,0
73.936,60.674,0
58.442,6.667,1
61.905,50.625,0
73.936,59.639,0
64.458,60.674,1
73.936,50.625,0
59.639,6.667,0
60.674,54.43,1
64.458,35.897,0
61.905,59.639,1
58.442,54.43,1
60.674,50.625,0
73.936,6.667,0
61.905,35.897,1
59.639,58.442,1
50.625,6.667,0
64.458,61.905,0
60.674,35.897,0
73.936,54.43,0
59.639,35.897,0
60.674,6.667,0
73.936,64.458,1
73.936,58.442,0
59.639,54.43,0
73.936,50.625,0
61.905,6.667,0
64.458,58.442,0
54.43,35.897,1
59.639,6.667,0
61.905,60.674,1
73.936,35.897,0
59.639,50.625,1
64.458,6.667,0
60.674,54.43,0
61.905,58.442,1
35.897,6.667,0
73.936,59.639,0
60.674,58.442,1
64.458,54.43,0
61.905,50.625,0
58.442,6.667,0
73.936,60.674,0
64.458,59.639,1
54.43,50.625,1
64.458,35.897,0
60.674,59.639,1
54.43,6.667,0
58.442,35.897,0
64.458,50.625,0
73.936,61.905,1
64.458,60.674,1
73.936,59.639,1
